"pair","F_value","R2","p_value","p_adj","sig"
"A1 vs A2",6.79,0.2359,0.001,0.001,"***"
"A1 vs B1",18.74,0.4385,0.001,0.001,"***"
"A1 vs B2a",20.23,0.4574,0.001,0.001,"***"
"A1 vs B2b",24.24,0.4235,0.001,0.001,"***"
"A1 vs C1a",30.24,0.5902,0.001,0.001,"***"
"A1 vs C1b",25.21,0.4053,0.001,0.001,"***"
"A1 vs C2a",29.48,0.6081,0.001,0.001,"***"
"A1 vs C2b1",22.39,0.5409,0.001,0.001,"***"
"A1 vs C2b2",31.8,0.4691,0.001,0.001,"***"
"A2 vs B1",28.89,0.4906,0.001,0.001,"***"
"A2 vs B2a",19.28,0.3913,0.001,0.001,"***"
"A2 vs B2b",37.73,0.4917,0.001,0.001,"***"
"A2 vs C1a",33.33,0.5525,0.001,0.001,"***"
"A2 vs C1b",43.21,0.5012,0.001,0.001,"***"
"A2 vs C2a",22.83,0.4773,0.001,0.001,"***"
"A2 vs C2b1",23.43,0.4838,0.001,0.001,"***"
"A2 vs C2b2",43.39,0.5082,0.001,0.001,"***"
"B1 vs B2a",11.25,0.2601,0.001,0.001,"***"
"B1 vs B2b",11.83,0.224,0.001,0.001,"***"
"B1 vs C1a",19.7,0.4045,0.001,0.001,"***"
"B1 vs C1b",19.92,0.3068,0.001,0.001,"***"
"B1 vs C2a",37.77,0.5831,0.001,0.001,"***"
"B1 vs C2b1",29.1,0.5187,0.001,0.001,"***"
"B1 vs C2b2",28.95,0.3969,0.001,0.001,"***"
"B2a vs B2b",11.07,0.2126,0.001,0.001,"***"
"B2a vs C1a",24.98,0.4627,0.001,0.001,"***"
"B2a vs C1b",31.08,0.4085,0.001,0.001,"***"
"B2a vs C2a",25.28,0.4836,0.001,0.001,"***"
"B2a vs C2b1",20.14,0.4272,0.001,0.001,"***"
"B2a vs C2b2",25.14,0.3636,0.001,0.001,"***"
"B2b vs C1a",37.46,0.4964,0.001,0.001,"***"
"B2b vs C1b",44.19,0.45,0.001,0.001,"***"
"B2b vs C2a",47.13,0.567,0.001,0.001,"***"
"B2b vs C2b1",33.3,0.4805,0.001,0.001,"***"
"B2b vs C2b2",31.79,0.3749,0.001,0.001,"***"
"C1a vs C1b",10.06,0.1932,0.001,0.001,"***"
"C1a vs C2a",21.25,0.4696,0.001,0.001,"***"
"C1a vs C2b1",14.37,0.3745,0.001,0.001,"***"
"C1a vs C2b2",12.11,0.2281,0.001,0.001,"***"
"C1b vs C2a",20.45,0.3383,0.001,0.001,"***"
"C1b vs C2b1",20.06,0.334,0.001,0.001,"***"
"C1b vs C2b2",18.96,0.2496,0.001,0.001,"***"
"C2a vs C2b1",16.01,0.4212,0.001,0.001,"***"
"C2a vs C2b2",14.16,0.2664,0.001,0.001,"***"
"C2b1 vs C2b2",10.66,0.2147,0.001,0.001,"***"
